"md5_email"|"date_test"|"year"|"week"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"
"660"|"c73eb1e9f69a94549cc0a0ddef6cba21"|"11/28/2012 11:51"|2012|48|3.4|3.4|2.6|5|5|3.4|4.2|2.6|5|4.2|4.2|3.4|3.4|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|3.4|4.2|3.4|2.6|5|3.4|4.2|2.6|4.2|3.4|2.6|4.2|2.6|2.6|4.2|2.6|4.2|4.2|3.4|3.4|2.6|4.2|4.2|2.6|3.4|4.2|4.2|3.4|3.4|3.4|3.4|5|4.2|3.4|3.4|3.4|3.4|2.6|3.4
"661"|"2831b2ef37069870978b8c02a97a459a"|"11/30/2012 18:48"|2012|48|2.6|5|3.4|4.2|5|5|4.2|3.4|5|5|1.8|3.4|5|5|4.2|5|5|4.2|3.4|1|1.8|3.4|5|4.2|1|4.2|4.2|3.4|2.6|4.2|5|5|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|5|1.8|4.2|3.4|2.6|4.2|5|3.4|4.2|3.4|2.6|2.6|5|5|3.4|4.2|3.4|5|4.2|5
"662"|"545bd84625d095125df169657696e362"|"11/30/2012 19:14"|2012|48|5|5|1|3.4|4.2|5|5|2.6|4.2|4.2|1.8|4.2|3.4|5|3.4|3.4|5|5|3.4|1.8|3.4|2.6|5|1.8|1|4.2|3.4|2.6|1.8|4.2|4.2|3.4|4.2|3.4|3.4|5|4.2|3.4|3.4|5|5|3.4|4.2|4.2|2.6|5|3.4|1.8|3.4|5|1.8|3.4|3.4|4.2|4.2|4.2|4.2|5|3.4|3.4
"663"|"0b7dfd14c15df040661aca2aa56a7adf"|"11/30/2012 21:06"|2012|48|3.4|2.6|3.4|4.2|4.2|3.4|3.4|1.8|4.2|4.2|2.6|1.8|4.2|2.6|3.4|4.2|4.2|3.4|3.4|1.8|1|3.4|4.2|4.2|1|4.2|3.4|4.2|2.6|4.2|3.4|3.4|4.2|3.4|1.8|4.2|1.8|3.4|4.2|3.4|5|1.8|3.4|2.6|4.2|3.4|5|4.2|2.6|2.6|3.4|3.4|5|5|4.2|2.6|3.4|4.2|2.6|4.2
"642"|"9258e0360c45411ba5d9fda3de6d5c17"|"11/18/2012 15:57"|2012|47|4.2|4.2|1.8|4.2|5|4.2|4.2|2.6|4.2|4.2|2.6|2.6|4.2|4.2|2.6|4.2|4.2|4.2|3.4|1.8|1.8|2.6|5|3.4|2.6|4.2|3.4|3.4|1.8|3.4|3.4|4.2|3.4|2.6|1|4.2|2.6|4.2|3.4|3.4|4.2|2.6|3.4|3.4|2.6|3.4|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4|1.8|4.2|3.4|3.4|2.6|1.8
"643"|"705c56391f896b56fc7f88d8da37af7e"|"11/18/2012 17:59"|2012|47|4.2|4.2|2.6|5|5|3.4|2.6|3.4|5|4.2|5|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|3.4|3.4|5|5|3.4|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|5|2.6|3.4|3.4|4.2|5|3.4|4.2|4.2|4.2|5|3.4|4.2|4.2|5|4.2|4.2|5|5|5|3.4|4.2|4.2|4.2|3.4
"644"|"5cd50ff04d072f7639804f70aa8ca88e"|"11/19/2012 20:41"|2012|47|4.2|2.6|3.4|1.8|3.4|3.4|1.8|1.8|4.2|3.4|1.8|2.6|5|4.2|4.2|3.4|2.6|3.4|4.2|1.8|2.6|3.4|4.2|2.6|3.4|5|4.2|2.6|1.8|4.2|3.4|4.2|4.2|4.2|2.6|3.4|1.8|3.4|5|3.4|2.6|2.6|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|2.6|4.2|4.2|3.4|4.2|3.4|4.2|1.8|3.4|2.6
"645"|"ea2fad8ffad45ef894ffbefeca99135c"|"11/19/2012 21:23"|2012|47|3.4|3.4|3.4|4.2|5|2.6|3.4|2.6|3.4|4.2|3.4|3.4|3.4|5|4.2|4.2|4.2|4.2|3.4|3.4|4.2|2.6|5|5|2.6|3.4|5|2.6|3.4|4.2|3.4|3.4|5|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|3.4|3.4|4.2|3.4|4.2
"646"|"c6b33ba8b1f0f166861d78c8ff8077ca"|"11/20/2012 10:18"|2012|47|3.4|5|1.8|3.4|5|4.2|3.4|1.8|4.2|4.2|4.2|2.6|2.6|2.6|3.4|4.2|5|5|3.4|3.4|3.4|1.8|4.2|2.6|3.4|4.2|3.4|1.8|3.4|4.2|4.2|3.4|2.6|4.2|3.4|4.2|3.4|2.6|4.2|4.2|5|5|4.2|4.2|5|4.2|2.6|2.6|5|3.4|4.2|5|4.2|3.4|3.4|2.6|4.2|3.4|3.4|2.6
"647"|"44abe7ec2dc77fdff5a6f023cadc3c34"|"11/20/2012 15:18"|2012|47|2.6|3.4|3.4|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|2.6|4.2|2.6|3.4|3.4|3.4|3.4|4.2|2.6|2.6|4.2|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|1.8|3.4|2.6|4.2|4.2|3.4|4.2|3.4|3.4|3.4|4.2|3.4|2.6|4.2|3.4|2.6|4.2|3.4|2.6|4.2|3.4|3.4|2.6|3.4|2.6|3.4|4.2|4.2|1.8
"648"|"58f04f80970bbd52f3fed3462ab2f4e9"|"11/20/2012 19:04"|2012|47|3.4|3.4|3.4|5|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|2.6|3.4|4.2|5|4.2|3.4|1.8|3.4|2.6|4.2|3.4|1.8|4.2|4.2|4.2|4.2|3.4|5|5|4.2|4.2|4.2|3.4|3.4|3.4|3.4|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|2.6|3.4|3.4|5|5|5|4.2|2.6|3.4|4.2|5|2.6|5
"649"|"0dfaf57e20af210983b0fff71bf19e73"|"11/24/2012 12:51"|2012|47|5|3.4|3.4|4.2|3.4|5|3.4|1.8|4.2|2.6|4.2|2.6|3.4|2.6|3.4|3.4|5|5|2.6|2.6|3.4|3.4|4.2|3.4|2.6|4.2|2.6|2.6|3.4|2.6|4.2|5|3.4|3.4|3.4|3.4|3.4|2.6|3.4|5|2.6|3.4|3.4|3.4|3.4|5|4.2|2.6|3.4|2.6|1.8|3.4|5|3.4|2.6|4.2|3.4|3.4|3.4|4.2
"650"|"f01bb1cbdc67660892d03a8af69bc9d4"|"11/24/2012 13:42"|2012|47|1.8|2.6|2.6|4.2|3.4|1.8|2.6|2.6|3.4|2.6|3.4|1.8|3.4|1.8|3.4|2.6|3.4|2.6|1.8|3.4|2.6|2.6|2.6|4.2|2.6|4.2|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|2.6|2.6|4.2|3.4|3.4|3.4|3.4|3.4|2.6|2.6|2.6|3.4|4.2|4.2|3.4|2.6|1.8|3.4|3.4|3.4|3.4
"636"|"c6b77e0c1a0b9e03c24445a90858b769"|"11/15/2012 10:38"|2012|46|4.2|2.6|2.6|4.2|5|5|5|2.6|4.2|3.4|3.4|3.4|4.2|5|3.4|5|5|4.2|4.2|2.6|1|3.4|5|3.4|1.8|5|2.6|2.6|3.4|4.2|3.4|5|5|4.2|3.4|5|3.4|4.2|3.4|4.2|2.6|5|4.2|3.4|3.4|4.2|5|3.4|4.2|3.4|5|3.4|5|3.4|3.4|3.4|4.2|3.4|3.4|4.2
"637"|"2f121022185ba9d943b3eafdb25b7e1b"|"11/15/2012 10:58"|2012|46|4.2|4.2|1|4.2|4.2|4.2|4.2|2.6|5|5|1.8|4.2|4.2|4.2|4.2|5|4.2|5|4.2|1.8|1.8|4.2|4.2|3.4|1.8|5|4.2|4.2|1.8|5|4.2|5|4.2|5|3.4|5|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|5|5|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|5|3.4
"638"|"778bfbee3dc6a8cdf7a5f0e6e9714497"|"11/15/2012 11:37"|2012|46|4.2|3.4|1.8|4.2|3.4|3.4|3.4|2.6|3.4|3.4|3.4|2.6|3.4|5|2.6|3.4|4.2|4.2|3.4|2.6|3.4|2.6|4.2|2.6|1.8|2.6|5|1.8|2.6|3.4|4.2|4.2|3.4|4.2|2.6|3.4|4.2|4.2|3.4|4.2|5|3.4|4.2|3.4|3.4|3.4|3.4|2.6|4.2|4.2|4.2|4.2|3.4|3.4|2.6|4.2|4.2|3.4|4.2|4.2
"639"|"24b273b53ed553c0abdb01080f0254b4"|"11/15/2012 14:21"|2012|46|2.6|5|2.6|2.6|5|5|3.4|1.8|5|4.2|4.2|3.4|4.2|4.2|3.4|4.2|5|4.2|4.2|4.2|4.2|2.6|5|4.2|3.4|5|4.2|2.6|3.4|4.2|3.4|2.6|5|5|5|4.2|3.4|4.2|3.4|4.2|2.6|4.2|4.2|3.4|4.2|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|5|4.2|2.6|5|4.2|2.6|2.6
"640"|"715b82547d047a8cdb7be83a0cd5a5f0"|"11/15/2012 22:12"|2012|46|3.4|4.2|2.6|5|4.2|2.6|5|4.2|4.2|3.4|2.6|3.4|3.4|4.2|4.2|4.2|3.4|3.4|3.4|3.4|3.4|5|4.2|4.2|1.8|5|4.2|4.2|5|3.4|5|3.4|5|4.2|4.2|5|5|5|5|5|5|3.4|3.4|5|3.4|3.4|4.2|4.2|4.2|5|4.2|5|5|5|2.6|4.2|5|3.4|5|4.2
"641"|"1beeb081d1f10de17718439467478546"|"11/17/2012 12:56"|2012|46|4.2|3.4|3.4|5|4.2|4.2|4.2|3.4|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|2.6|3.4|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|3.4|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|3.4|4.2|4.2|5|4.2|4.2|3.4|4.2|4.2|3.4|3.4
"634"|"d9706966e98bf826b756b73a011d6332"|"10/23/2012 21:37"|2012|43|4.2|3.4|1.8|4.2|5|4.2|4.2|4.2|4.2|5|2.6|4.2|5|4.2|5|5|5|5|4.2|2.6|3.4|5|4.2|3.4|1.8|4.2|4.2|4.2|2.6|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|5|4.2|5|4.2|5|4.2|4.2|4.2|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|2.6|5|4.2|4.2|4.2|4.2
"635"|"4e9812bc46595faf7be84dd6588450c5"|"10/23/2012 21:37"|2012|43|3.4|3.4|4.2|5|3.4|3.4|4.2|3.4|4.2|4.2|5|3.4|4.2|3.4|5|4.2|4.2|5|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|3.4|2.6|3.4|3.4|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|2.6|4.2|4.2|4.2|4.2|4.2|3.4|1.8|3.4|2.6|4.2|4.2|3.4|5|3.4|5|2.6|3.4|4.2|3.4|4.2|3.4
"633"|"319fb8a53a9a22d120d8f3b4104c9203"|"10/2/2012 15:18"|2012|40|5|5|1|5|5|4.2|5|1|5|5|5|5|5|5|5|5|5|5|4.2|1.8|5|5|5|4.2|5|5|5|5|5|5|5|5|5|5|2.6|5|5|5|4.2|5|5|5|5|5|5|5|3.4|2.6|5|5|5|5|5|5|3.4|5|5|5|5|5
"632"|"597c8bc7c8feb14ef1d229329d53ad09"|"9/26/2012 20:30"|2012|39|3.4|3.4|1.8|5|5|4.2|4.2|3.4|4.2|4.2|3.4|3.4|1.8|5|4.2|5|5|5|3.4|1.8|4.2|5|5|5|2.6|5|5|5|1.8|5|4.2|5|5|4.2|4.2|5|2.6|4.2|4.2|4.2|4.2|5|3.4|5|4.2|5|4.2|4.2|3.4|4.2|4.2|4.2|5|4.2|3.4|5|5|5|3.4|4.2
"631"|"479273d4e2b4ec0cf41c1efc10c74122"|"8/20/2012 14:28"|2012|34|4.2|2.6|1.8|5|4.2|2.6|5|4.2|5|5|2.6|3.4|5|4.2|4.2|5|4.2|3.4|5|1.8|3.4|5|5|3.4|2.6|5|5|4.2|2.6|5|5|5|5|5|3.4|4.2|3.4|5|5|4.2|5|4.2|4.2|5|5|4.2|5|4.2|5|4.2|5|5|4.2|5|4.2|4.2|5|5|5|2.6
"630"|"10ef12dc125ed5af23d3b24c0c15fdf3"|"8/18/2012 12:24"|2012|33|5|5|1|4.2|4.2|3.4|3.4|2.6|5|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|3.4|4.2|2.6|4.2|4.2|5|3.4|2.6|5|4.2|3.4|2.6|4.2|5|4.2|5|5|4.2|5|3.4|5|4.2|4.2|4.2|5|3.4|5|4.2|4.2|5|3.4|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|5|3.4
"629"|"1f4573691e9e35b8101e315445834a6d"|"8/7/2012 9:22"|2012|32|2.6|3.4|1|5|3.4|4.2|3.4|4.2|5|5|1|3.4|3.4|5|4.2|5|5|5|5|1|2.6|2.6|5|1|1|3.4|5|1.8|1.8|2.6|5|5|4.2|5|1|2.6|3.4|5|2.6|5|5|2.6|3.4|4.2|5|3.4|5|5|4.2|5|3.4|5|5|5|1.8|5|5|5|3.4|4.2
"628"|"eaf3c8b47677d1334096983e1f4dd83d"|"6/29/2012 17:38"|2012|26|3.4|5|1|3.4|4.2|4.2|2.6|3.4|5|4.2|1.8|4.2|4.2|5|5|5|5|5|4.2|1.8|4.2|2.6|4.2|3.4|1.8|4.2|4.2|4.2|3.4|4.2|4.2|2.6|4.2|3.4|4.2|4.2|3.4|4.2|3.4|4.2|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|4.2|4.2|5|4.2|3.4
"627"|"757621da9f514832fa23f815ece85207"|"5/30/2012 22:10"|2012|22|2.6|3.4|2.6|1.8|4.2|3.4|3.4|2.6|3.4|2.6|2.6|3.4|4.2|4.2|3.4|3.4|4.2|5|2.6|1.8|2.6|4.2|4.2|2.6|1.8|4.2|2.6|3.4|3.4|3.4|2.6|3.4|4.2|5|3.4|3.4|1.8|1.8|3.4|2.6|5|3.4|2.6|4.2|2.6|1.8|5|1.8|2.6|3.4|4.2|2.6|5|3.4|2.6|4.2|3.4|3.4|2.6|2.6
"626"|"d574a9967ef7ef08d49fc187b626bc7c"|"5/16/2012 23:04"|2012|20|4.2|3.4|1.8|4.2|5|3.4|4.2|4.2|5|4.2|1.8|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|1|4.2|4.2|4.2|4.2|1.8|4.2|4.2|4.2|1.8|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|2.6|3.4|3.4|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|3.4|2.6|3.4|3.4|3.4|3.4|2.6
"625"|"d41d8cd98f00b204e9800998ecf8427e"|"4/26/2012 11:08"|2012|17|4.2|5|1.8|4.2|5|5|4.2|4.2|4.2|4.2|1.8|4.2|3.4|5|4.2|5|5|4.2|4.2|1|3.4|4.2|5|3.4|1|5|5|4.2|3.4|4.2|5|5|5|5|3.4|5|3.4|5|4.2|4.2|4.2|5|4.2|4.2|5|5|5|4.2|4.2|4.2|5|4.2|5|5|3.4|4.2|5|5|5|4.2
"624"|"eba037c7e8147dd91cd9660d56290ee9"|"4/16/2012 11:20"|2012|16|3.4|3.4|1.8|4.2|4.2|4.2|4.2|4.2|5|4.2|1.8|3.4|4.2|4.2|5|5|5|5|4.2|1|1.8|5|5|4.2|1|5|4.2|4.2|1|3.4|4.2|4.2|4.2|4.2|4.2|5|1.8|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|3.4|5|5|4.2|5|3.4|5|4.2|5|3.4|4.2
"623"|"84381fef107e9e2b89209c8c6fc41a8f"|"4/12/2012 9:31"|2012|15|2.6|3.4|1.8|4.2|4.2|2.6|4.2|3.4|4.2|4.2|2.6|2.6|4.2|4.2|4.2|4.2|4.2|4.2|4.2|1.8|4.2|2.6|5|3.4|1|4.2|4.2|3.4|1.8|3.4|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|4.2|4.2|2.6|2.6|3.4|3.4|2.6|4.2|4.2|2.6|4.2|1.8|4.2|4.2|4.2
"622"|"a65031507fbd0dea70c8ed3eaa51d56f"|"3/6/2012 22:08"|2012|10|2.6|4.2|2.6|3.4|4.2|5|2.6|2.6|4.2|2.6|1.8|3.4|4.2|3.4|3.4|4.2|4.2|4.2|4.2|1|2.6|3.4|5|4.2|1|4.2|3.4|3.4|1.8|3.4|3.4|3.4|4.2|3.4|4.2|4.2|2.6|4.2|3.4|2.6|4.2|3.4|3.4|3.4|4.2|4.2|3.4|3.4|4.2|1.8|2.6|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|3.4
"621"|"637cdcedee2c225739c1a5b64d5112e1"|"1/9/2012 18:02"|2012|2|5|5|1|4.2|4.2|2.6|4.2|2.6|4.2|4.2|4.2|4.2|4.2|5|4.2|5|4.2|2.6|4.2|2.6|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|5|4.2|5|5|4.2|5|5|5|4.2|5|5|5|5|5|5|5|3.4|5|5|4.2|4.2|5|5|5|2.6|4.2|5|4.2|5|3.4
"620"|"4902bf156d987d26d8fad35aef9dbe00"|"12/31/2011 0:58"|2011|53|2.6|1.8|4.2|4.2|3.4|3.4|4.2|3.4|3.4|2.6|2.6|3.4|2.6|3.4|2.6|3.4|3.4|3.4|2.6|2.6|2.6|3.4|2.6|2.6|2.6|4.2|2.6|4.2|2.6|3.4|3.4|4.2|4.2|2.6|2.6|3.4|3.4|3.4|4.2|2.6|1.8|2.6|3.4|4.2|3.4|3.4|4.2|3.4|3.4|4.2|3.4|2.6|3.4|3.4|3.4|3.4|3.4|2.6|2.6|4.2
"615"|"24095dee6cf72fa11fdc8a568dea6454"|"12/30/2011 22:21"|2011|52|4.2|4.2|1.8|1.8|2.6|2.6|3.4|1.8|3.4|4.2|4.2|2.6|4.2|3.4|2.6|4.2|2.6|4.2|4.2|4.2|4.2|3.4|2.6|1.8|3.4|3.4|3.4|3.4|4.2|2.6|4.2|3.4|1.8|2.6|1.8|4.2|1.8|4.2|4.2|2.6|4.2|3.4|3.4|3.4|3.4|2.6|2.6|3.4|4.2|2.6|3.4|2.6|3.4|4.2|1.8|2.6|3.4|3.4|3.4|2.6
"616"|"e63c40eb7bb972802226faef1addb56a"|"12/30/2011 22:45"|2011|52|4.2|4.2|1|2.6|4.2|4.2|3.4|4.2|4.2|4.2|2.6|2.6|4.2|5|5|5|4.2|2.6|3.4|4.2|4.2|2.6|5|5|3.4|4.2|4.2|3.4|3.4|4.2|2.6|2.6|4.2|4.2|2.6|4.2|5|5|4.2|4.2|5|3.4|1.8|3.4|4.2|5|3.4|2.6|2.6|5|4.2|5|4.2|4.2|4.2|3.4|4.2|2.6|1.8|2.6
"618"|"9e4469ecc2f4cb8ef40527fbe7c06fad"|"12/30/2011 22:50"|2011|52|3.4|4.2|1.8|3.4|4.2|4.2|1.8|3.4|5|3.4|1.8|1.8|3.4|4.2|3.4|5|4.2|3.4|1.8|3.4|1.8|3.4|4.2|4.2|1.8|4.2|5|2.6|1.8|4.2|3.4|1.8|3.4|1.8|4.2|4.2|1.8|3.4|4.2|4.2|3.4|3.4|3.4|2.6|4.2|4.2|2.6|3.4|2.6|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|3.4|3.4
"614"|"4ee5096244e139d1d87eeaa0bef29d71"|"12/23/2011 12:20"|2011|51|3.4|4.2|1.8|5|3.4|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|1.8|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|5|4.2|4.2|5|3.4|4.2|4.2|2.6|4.2|2.6|4.2|4.2|3.4|4.2|2.6|3.4|3.4|3.4|4.2|2.6
"613"|"d4352a3cb9a7b20a3747df11ef72bf7e"|"11/21/2011 9:11"|2011|47|3.4|4.2|1|4.2|5|3.4|4.2|3.4|4.2|4.2|1.8|2.6|3.4|4.2|3.4|4.2|4.2|4.2|4.2|1.8|1|3.4|3.4|5|1|4.2|3.4|5|2.6|4.2|1.8|3.4|5|3.4|2.6|4.2|1.8|5|3.4|4.2|2.6|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|3.4|4.2|5|4.2|3.4|3.4|3.4|4.2|2.6|3.4
"608"|"46f4fa3d55acdd8cf0e75fe21b654122"|"11/13/2011 19:27"|2011|46|4.2|4.2|2.6|4.2|3.4|4.2|4.2|2.6|4.2|4.2|3.4|2.6|5|4.2|4.2|4.2|4.2|3.4|4.2|2.6|2.6|4.2|4.2|4.2|1|4.2|4.2|3.4|3.4|3.4|4.2|5|4.2|5|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|3.4|1.8|5|5|4.2|4.2|5|4.2|1|4.2|4.2|4.2|4.2|3.4
"609"|"55bf7a2878b3792be2cfb2b587eef898"|"11/13/2011 19:31"|2011|46|3.4|4.2|2.6|3.4|4.2|4.2|2.6|4.2|4.2|3.4|3.4|1.8|2.6|3.4|2.6|5|5|3.4|1.8|1.8|1.8|3.4|5|3.4|1|3.4|4.2|3.4|2.6|2.6|2.6|4.2|4.2|2.6|3.4|4.2|1|2.6|4.2|3.4|2.6|1.8|2.6|3.4|4.2|5|5|4.2|2.6|2.6|2.6|3.4|5|4.2|4.2|5|3.4|4.2|2.6|5
"610"|"6c2638cd6246654f1b42e1919b946816"|"11/13/2011 19:47"|2011|46|1|1|1.8|5|2.6|1.8|5|2.6|2.6|3.4|5|2.6|2.6|1|4.2|4.2|4.2|3.4|1.8|4.2|2.6|5|2.6|1.8|4.2|1|3.4|1|4.2|2.6|5|4.2|3.4|2.6|5|2.6|1|4.2|1|1|2.6|3.4|4.2|4.2|4.2|5|2.6|1.8|1|1|1.8|5|5|2.6|5|4.2|3.4|5|4.2|5
"611"|"6333b62874a5a698e9926f1527e968a2"|"11/13/2011 20:48"|2011|46|3.4|3.4|1.8|4.2|5|5|3.4|2.6|5|5|3.4|4.2|3.4|4.2|4.2|5|5|4.2|2.6|3.4|3.4|4.2|5|4.2|1.8|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|4.2|5|4.2|5|4.2|3.4|3.4|5|5|5|3.4|3.4|3.4|4.2|4.2|5|4.2|4.2|5|4.2|5|4.2|5
"612"|"686f006bc3bf9685c354ed3cafad6f37"|"11/13/2011 21:09"|2011|46|3.4|1.8|1|1.8|4.2|3.4|1.8|2.6|4.2|2.6|2.6|3.4|1.8|5|4.2|2.6|2.6|3.4|1.8|1.8|1.8|1.8|4.2|2.6|1.8|1.8|3.4|2.6|1.8|4.2|1.8|1.8|3.4|1.8|3.4|3.4|1.8|1.8|1.8|3.4|2.6|3.4|3.4|1.8|3.4|4.2|4.2|3.4|1.8|3.4|3.4|2.6|4.2|3.4|2.6|3.4|4.2|3.4|1.8|3.4
"604"|"15fda54a17d650eb795123de38ac8b28"|"10/23/2011 17:52"|2011|43|4.2|3.4|1.8|5|4.2|2.6|5|5|5|1.8|5|3.4|4.2|3.4|4.2|3.4|3.4|4.2|3.4|2.6|2.6|5|3.4|5|2.6|3.4|4.2|4.2|2.6|4.2|5|5|5|2.6|5|4.2|4.2|4.2|4.2|5|2.6|4.2|4.2|5|3.4|5|4.2|3.4|3.4|3.4|4.2|5|3.4|5|1.8|3.4|3.4|2.6|4.2|3.4
"605"|"1efbfc964e5575980febc6c6638b395d"|"10/27/2011 20:31"|2011|43|3.4|3.4|1.8|5|5|5|4.2|4.2|5|5|1.8|3.4|5|5|5|5|5|4.2|5|1.8|2.6|5|5|5|1.8|5|4.2|5|3.4|5|4.2|4.2|5|4.2|3.4|5|3.4|5|5|4.2|3.4|5|5|5|5|5|5|4.2|4.2|5|3.4|5|5|5|5|4.2|4.2|4.2|4.2|5
"606"|"e5d37e412df02521f076d2747297f2a4"|"10/28/2011 9:42"|2011|43|4.2|5|1|5|5|5|2.6|2.6|5|5|1|2.6|5|5|2.6|5|5|5|5|1|2.6|5|4.2|5|1|5|3.4|5|1.8|4.2|1|5|5|5|5|5|1|5|5|5|2.6|3.4|5|5|2.6|5|5|5|5|1|5|2.6|5|5|5|5|4.2|5|3.4|5
"607"|"537724b713d09c3f9e9ca017849d6398"|"10/28/2011 16:47"|2011|43|3.4|5|1.8|4.2|3.4|2.6|3.4|2.6|4.2|5|4.2|4.2|4.2|5|3.4|4.2|5|4.2|3.4|3.4|4.2|4.2|3.4|2.6|2.6|4.2|4.2|2.6|3.4|4.2|4.2|3.4|4.2|5|1.8|4.2|4.2|4.2|3.4|4.2|5|4.2|3.4|3.4|4.2|2.6|3.4|3.4|4.2|4.2|4.2|4.2|3.4|3.4|1.8|3.4|4.2|3.4|4.2|2.6
"602"|"6dd1e6d14605609d58a8ef8c778b0b03"|"10/17/2011 0:17"|2011|42|4.2|4.2|2.6|5|4.2|5|4.2|3.4|5|4.2|1.8|4.2|2.6|4.2|4.2|4.2|4.2|4.2|3.4|1.8|1.8|4.2|5|3.4|1.8|4.2|3.4|4.2|3.4|3.4|5|4.2|4.2|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|2.6|4.2|5|5|4.2|3.4|4.2|3.4|4.2|3.4|4.2
"603"|"dce1647a91737d9719f068b9f02a5d9a"|"10/18/2011 5:05"|2011|42|3.4|5|3.4|4.2|4.2|4.2|4.2|3.4|4.2|4.2|2.6|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|1.8|2.6|4.2|5|3.4|2.6|4.2|3.4|3.4|2.6|3.4|5|3.4|5|4.2|3.4|4.2|2.6|4.2|5|4.2|3.4|4.2|3.4|4.2|4.2|5|4.2|4.2|4.2|3.4|5|4.2|5|4.2|4.2|5|4.2|5|4.2|3.4
"600"|"f666ad15f732b42cd651a86afc9dd0b0"|"10/12/2011 22:38"|2011|41|3.4|3.4|2.6|3.4|3.4|3.4|3.4|3.4|4.2|4.2|2.6|1.8|1.8|4.2|4.2|4.2|4.2|3.4|3.4|1.8|3.4|1.8|4.2|3.4|1.8|4.2|3.4|3.4|4.2|4.2|2.6|1.8|5|5|3.4|4.2|2.6|4.2|3.4|4.2|3.4|5|5|3.4|4.2|4.2|4.2|1.8|2.6|4.2|3.4|5|5|4.2|2.6|3.4|4.2|4.2|3.4|3.4
